[2026-01-17 15:07:23,775][INFO][always_online.py][<module>][467]: 配置加载完成，启动网络监控线程...
[2026-01-17 15:07:23,775][INFO][always_online.py][always_login][398]: [2026-01-17 15:07:23] [DESKTOP-TJ2CNKV] NetWork Monitor StartUp.
[2026-01-17 15:07:23,775][INFO][always_online.py][<module>][472]: 网络监控线程已启动
[2026-01-17 15:07:23,776][INFO][always_online.py][<module>][475]: 正在启动托盘图标...
[2026-01-17 15:07:23,776][INFO][always_online.py][run_tray][435]: 开始创建托盘图标...
[2026-01-17 15:07:23,776][INFO][always_online.py][run_tray][438]: 创建托盘菜单...
[2026-01-17 15:07:23,776][INFO][always_online.py][create_tray_menu][346]: 开始创建托盘菜单...
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][349]: 开机自启状态: False, 菜单文本: 开机自启: 已关闭
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][364]: 创建菜单项...
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][373]: 托盘菜单创建成功，包含 5 个菜单项
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][376]:   菜单项 1: 显示状态
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][376]:   菜单项 2: 调试登录
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][376]:   菜单项 3: 开机自启: 已关闭
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][376]:   菜单项 4: - - - -
[2026-01-17 15:07:23,777][INFO][always_online.py][create_tray_menu][376]:   菜单项 5: 退出程序
[2026-01-17 15:07:23,777][INFO][always_online.py][run_tray][440]: 托盘菜单创建完成
[2026-01-17 15:07:23,777][INFO][always_online.py][run_tray][442]: 创建托盘图标对象...
[2026-01-17 15:07:23,778][INFO][always_online.py][run_tray][450]: 托盘图标已创建，开始运行...
[2026-01-17 15:07:27,837][INFO][always_online.py][callback][355]: 菜单项被点击: 退出程序
[2026-01-17 15:07:34,136][INFO][always_online.py][<module>][465]: 程序启动，正在加载配置...
[2026-01-17 15:08:15,623][INFO][always_online.py][<module>][467]: 配置加载完成，启动网络监控线程...
[2026-01-17 15:08:15,623][INFO][always_online.py][always_login][398]: [2026-01-17 15:08:15] [DESKTOP-TJ2CNKV] NetWork Monitor StartUp.
[2026-01-17 15:08:15,623][INFO][always_online.py][<module>][472]: 网络监控线程已启动
[2026-01-17 15:08:15,623][INFO][always_online.py][<module>][475]: 正在启动托盘图标...
[2026-01-17 15:08:15,624][INFO][always_online.py][run_tray][435]: 开始创建托盘图标...
[2026-01-17 15:08:15,624][INFO][always_online.py][run_tray][438]: 创建托盘菜单...
[2026-01-17 15:08:15,624][INFO][always_online.py][create_tray_menu][346]: 开始创建托盘菜单...
[2026-01-17 15:08:15,624][INFO][always_online.py][create_tray_menu][349]: 开机自启状态: False, 菜单文本: 开机自启: 已关闭
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][364]: 创建菜单项...
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][373]: 托盘菜单创建成功，包含 5 个菜单项
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][376]:   菜单项 1: 显示状态
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][376]:   菜单项 2: 调试登录
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][376]:   菜单项 3: 开机自启: 已关闭
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][376]:   菜单项 4: - - - -
[2026-01-17 15:08:15,625][INFO][always_online.py][create_tray_menu][376]:   菜单项 5: 退出程序
[2026-01-17 15:08:15,625][INFO][always_online.py][run_tray][440]: 托盘菜单创建完成
[2026-01-17 15:08:15,626][INFO][always_online.py][run_tray][442]: 创建托盘图标对象...
[2026-01-17 15:08:15,626][INFO][always_online.py][run_tray][450]: 托盘图标已创建，开始运行...
